epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9388,0.5729,1.77024,0.88792,0.9949,0.55827,0.73369,0.62094,0.55309,2.70179,0.80598,0.000651515,0.000651515,0.000651515
2,61.4991,0.55981,0.82577,0.86748,0.99981,1,0.995,0.87884,0.53345,1.37962,0.87375,0.00129643,0.00129643,0.00129643
3,92.5331,0.54361,0.65448,0.86387,0.99996,1,0.995,0.87526,0.52785,0.52411,0.88837,0.00191935,0.00191935,0.00191935
4,124.071,0.5346,0.53227,0.86577,0.99937,1,0.995,0.89216,0.47701,0.48749,0.85607,0.001901,0.001901,0.001901
5,155.785,0.53598,0.44791,0.86921,0.99961,1,0.995,0.88666,0.50462,0.41855,0.86247,0.001868,0.001868,0.001868
6,188.297,0.51333,0.38236,0.86474,0.99895,1,0.9949,0.89949,0.45365,0.45554,0.83541,0.001835,0.001835,0.001835
7,220.142,0.5042,0.35802,0.85639,0.99795,1,0.995,0.90318,0.44294,0.30204,0.83189,0.001802,0.001802,0.001802
8,267.238,0.49896,0.33332,0.85671,0.99986,1,0.995,0.89441,0.46529,0.27593,0.83962,0.001769,0.001769,0.001769
9,318.215,0.49701,0.32076,0.85698,0.99994,1,0.995,0.90997,0.42327,0.25467,0.82517,0.001736,0.001736,0.001736
10,358.32,0.48612,0.31037,0.85634,0.99915,1,0.995,0.9052,0.43775,0.31056,0.832,0.001703,0.001703,0.001703
11,404.915,0.4891,0.30918,0.85214,0.99992,1,0.995,0.90812,0.43085,0.24694,0.83448,0.00167,0.00167,0.00167
12,455.026,0.49246,0.29718,0.8583,0.99995,1,0.995,0.91906,0.40685,0.22193,0.82145,0.001637,0.001637,0.001637
13,506.477,0.45682,0.27613,0.84545,0.99969,1,0.995,0.91448,0.41358,0.21594,0.82727,0.001604,0.001604,0.001604
14,557.807,0.46764,0.28132,0.85523,0.99895,1,0.995,0.91183,0.41511,0.26491,0.82521,0.001571,0.001571,0.001571
15,607.694,0.45002,0.2705,0.84578,0.99996,1,0.995,0.91559,0.42546,0.21928,0.82573,0.001538,0.001538,0.001538
16,658.004,0.46895,0.27464,0.8443,0.99995,1,0.995,0.92204,0.41853,0.21696,0.82427,0.001505,0.001505,0.001505
17,708.052,0.45865,0.27232,0.84507,0.99941,1,0.995,0.92174,0.40846,0.21975,0.82192,0.001472,0.001472,0.001472
18,757.889,0.45961,0.26909,0.84284,0.99995,1,0.995,0.90816,0.44053,0.21685,0.82983,0.001439,0.001439,0.001439
19,807.321,0.46762,0.26552,0.8496,0.99997,1,0.995,0.92467,0.41096,0.19891,0.82196,0.001406,0.001406,0.001406
20,856.76,0.45171,0.26241,0.84129,0.99989,1,0.995,0.92391,0.39567,0.21119,0.81708,0.001373,0.001373,0.001373
21,905.918,0.44085,0.25723,0.84231,0.99995,1,0.995,0.93065,0.39541,0.20548,0.81661,0.00134,0.00134,0.00134
22,955.294,0.43883,0.25542,0.8382,0.99939,1,0.995,0.92581,0.40248,0.20731,0.81743,0.001307,0.001307,0.001307
23,1004.39,0.44028,0.25572,0.84399,0.99995,1,0.995,0.92578,0.39879,0.20532,0.81812,0.001274,0.001274,0.001274
24,1053.5,0.44206,0.25025,0.84644,0.99995,1,0.995,0.92649,0.40613,0.20204,0.81924,0.001241,0.001241,0.001241
25,1102.42,0.42868,0.24435,0.84267,0.99996,1,0.995,0.92937,0.40604,0.20108,0.82079,0.001208,0.001208,0.001208
26,1151.82,0.42793,0.23776,0.84232,0.99995,1,0.995,0.93059,0.39916,0.18919,0.81704,0.001175,0.001175,0.001175
27,1200.83,0.43709,0.23699,0.84339,0.99997,1,0.995,0.92504,0.39532,0.18539,0.81689,0.001142,0.001142,0.001142
28,1250.72,0.43496,0.23917,0.84172,0.99997,1,0.995,0.9251,0.40166,0.19747,0.81935,0.001109,0.001109,0.001109
29,1300.36,0.44058,0.24313,0.8392,0.99997,1,0.995,0.93643,0.37679,0.18596,0.8133,0.001076,0.001076,0.001076
